"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Richmond, VA","40060",2020,91,88,3,0,0,0,0,53,42,26,0,0,0,0,91,0
"Riverside-San Bernardino-Ontario, CA","40140",2020,121,103,17,0,0,1,0,207,53,39,0,0,43,0,29,49
"Roanoke Rapids, NC","40260",2020,91,89,2,0,0,0,0,54,31,18,0,31,0,0,60,0
"Roanoke, VA","40220",2020,91,84,7,0,0,0,0,61,47,25,0,0,0,0,91,0
"Rochester, NY","40380",2020,92,80,12,0,0,0,0,65,54,37,1,0,38,0,53,0
"Rock Springs, WY","40540",2020,91,91,0,0,0,0,0,43,10,6,0,0,0,0,0,91
"Rockford, IL","40420",2020,60,49,11,0,0,0,0,75,58,32,0,0,0,0,60,0
"Rocky Mount, NC","40580",2020,57,57,0,0,0,0,0,47,32,19,0,0,0,0,57,0
"Rome, GA","40660",2020,91,82,9,0,0,0,0,64,50,33,0,0,0,5,86,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2020,60,31,29,0,0,0,0,89,77,50,0,0,0,0,60,0
"Salem, OH","41400",2020,60,60,0,0,0,0,0,31,13,1,0,0,0,50,0,10
"Salisbury, MD-DE","41540",2020,60,57,3,0,0,0,0,59,44,35,0,0,41,0,19,0
"Salt Lake City, UT","41620",2020,122,98,20,4,0,0,0,138,59,43,1,36,65,0,20,0
"San Antonio-New Braunfels, TX","41700",2020,91,63,27,1,0,0,0,106,60,41,0,0,17,0,74,0
"San Diego-Carlsbad, CA","41740",2020,2,2,0,0,0,0,0,20,20,20,0,0,2,0,0,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2020,60,60,0,0,0,0,0,45,44,35,0,0,60,0,0,0
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2020,31,30,1,0,0,0,0,56,44,33,0,0,25,0,6,0
"Santa Fe, NM","42140",2020,91,91,0,0,0,0,0,26,16,10,0,0,0,0,91,0
"Santa Maria-Santa Barbara, CA","42200",2020,61,59,2,0,0,0,0,55,45,40,1,0,51,0,9,0
"Savannah, GA","42340",2020,91,82,9,0,0,0,0,60,49,34,0,0,0,11,80,0
"Scottsbluff, NE","42420",2020,11,11,0,0,0,0,0,38,12,12,0,0,0,0,11,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2020,122,122,0,0,0,0,0,10,6,2,122,0,0,0,0,0
"Seattle-Tacoma-Bellevue, WA","42660",2020,32,28,4,0,0,0,0,68,55,36,1,10,8,0,13,0
"Sebastian-Vero Beach, FL","42680",2020,26,26,0,0,0,0,0,50,44,37,0,0,26,0,0,0
"Seneca, SC","42860",2020,20,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0
"Sevierville, TN","42940",2020,60,60,0,0,0,0,0,46,44,39,0,0,60,0,0,0
"Shelton, WA","43220",2020,31,31,0,0,0,0,0,40,30,17,0,0,0,0,31,0
"Show Low, AZ","43320",2020,91,91,0,0,0,0,0,44,41,35,0,0,60,0,0,31
"Shreveport-Bossier City, LA","43340",2020,91,88,3,0,0,0,0,67,41,31,0,0,72,0,19,0
"Sierra Vista-Douglas, AZ","43420",2020,91,90,1,0,0,0,0,56,43,38,0,0,54,0,0,37
"Sioux City, IA-NE-SD","43580",2020,31,31,0,0,0,0,0,50,46,32,0,0,0,0,31,0
"Somerset, KY","43700",2020,10,9,1,0,0,0,0,52,52,24,0,0,0,0,10,0
"Somerset, PA","43740",2020,60,60,0,0,0,0,0,43,37,31,0,0,60,0,0,0
"South Bend-Mishawaka, IN-MI","43780",2020,91,82,9,0,0,0,0,58,50,35,0,1,61,0,29,0
"Spartanburg, SC","43900",2020,91,81,10,0,0,0,0,61,51,34,0,0,29,0,62,0
"Spokane-Spokane Valley, WA","44060",2020,31,14,17,0,0,0,0,62,60,52,0,0,0,0,29,2
"Springfield, IL","44100",2020,58,54,4,0,0,0,0,55,45,32,0,0,0,0,58,0
"Springfield, MA","44140",2020,60,39,21,0,0,0,0,99,61,41,0,2,21,0,37,0
"Springfield, OH","44220",2020,91,83,8,0,0,0,0,60,48,33,0,0,23,22,46,0
"St. George, UT","41100",2020,121,121,0,0,0,0,0,50,45,40,0,0,120,0,1,0
"St. Louis, MO-IL","41180",2020,60,29,31,0,0,0,0,72,64,51,0,0,10,0,50,0
"St. Marys, PA","41260",2020,60,60,0,0,0,0,0,45,39,33,0,0,60,0,0,0
"State College, PA","44300",2020,28,28,0,0,0,0,0,43,39,35,0,0,28,0,0,0
"Steamboat Springs, CO","44460",2020,48,48,0,0,0,0,0,29,18,7,0,0,0,0,0,48
"Syracuse, NY","45060",2020,91,80,11,0,0,0,0,71,52,36,0,0,59,0,32,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2020,91,91,0,0,0,0,0,50,44,38,0,0,91,0,0,0
"Taos, NM","45340",2020,90,82,8,0,0,0,0,64,45,23,0,0,0,0,90,0
"Terre Haute, IN","45460",2020,91,83,8,0,0,0,0,60,49,33,0,0,56,0,35,0
"Texarkana, TX-AR","45500",2020,60,58,2,0,0,0,0,80,43,28,0,0,0,0,60,0
"Toledo, OH","45780",2020,91,83,8,0,0,0,0,62,45,30,0,0,31,7,53,0
"Trenton, NJ","45940",2020,19,19,0,0,0,0,0,38,37,31,0,0,19,0,0,0
"Truckee-Grass Valley, CA","46020",2020,121,117,4,0,0,0,0,64,47,41,0,0,96,0,25,0
"Tucson, AZ","46060",2020,91,84,6,1,0,0,0,103,44,27,0,0,0,0,0,91
"Tulsa, OK","46140",2020,92,83,9,0,0,0,0,89,49,37,1,0,54,0,36,1
"Tupelo, MS","46180",2020,31,31,0,0,0,0,0,48,43,31,0,0,31,0,0,0
"Tuscaloosa, AL","46220",2020,9,9,0,0,0,0,0,34,34,23,0,0,0,0,9,0
"Twin Falls, ID","46300",2020,60,60,0,0,0,0,0,21,15,9,0,0,0,0,60,0
"Tyler, TX","46340",2020,60,59,1,0,0,0,0,67,41,31,0,1,59,0,0,0
"Urban Honolulu, HI","46520",2020,10,9,1,0,0,0,0,54,54,18,0,0,0,0,10,0
"Utica-Rome, NY","46540",2020,91,86,5,0,0,0,0,56,42,25,0,0,0,0,91,0
"Valdosta, GA","46660",2020,57,51,6,0,0,0,0,59,51,29,0,0,0,0,57,0
"Vernal, UT","46860",2020,121,106,15,0,0,0,0,71,52,40,0,0,101,0,20,0
"Victoria, TX","47020",2020,31,31,0,0,0,0,0,44,39,33,0,0,31,0,0,0
"Vincennes, IN","47180",2020,60,60,0,0,0,0,0,43,35,29,0,0,60,0,0,0
"Vineyard Haven, MA","47240",2020,60,60,0,0,0,0,0,48,42,38,0,0,60,0,0,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2020,22,22,0,0,0,0,0,37,31,22,0,0,0,0,20,2
"Visalia-Porterville, CA","47300",2020,60,41,18,1,0,0,0,111,79,39,0,0,40,0,20,0
"Wabash, IN","47340",2020,60,60,0,0,0,0,0,38,35,29,0,0,60,0,0,0
"Waco, TX","47380",2020,32,32,0,0,0,0,0,46,38,30,1,0,26,0,5,0
"Walla Walla, WA","47460",2020,31,28,3,0,0,0,0,55,38,14,0,0,0,0,23,8
"Warner Robins, GA","47580",2020,88,73,15,0,0,0,0,80,60,34,0,0,0,0,88,0
"Washington Court House, OH","47920",2020,60,60,0,0,0,0,0,37,35,29,0,0,60,0,0,0
"Washington, NC","47820",2020,91,91,0,0,0,0,0,34,9,0,0,0,0,91,0,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2020,91,87,4,0,0,0,0,63,45,36,0,0,58,0,33,0
"Waterloo-Cedar Falls, IA","47940",2020,121,95,26,0,0,0,0,86,56,39,0,0,32,0,89,0
